name,address,phone_numbers,websites
Catholic Social Services of Mobile - Legal Immigration Program (Baldwin Office),"23010 Hwy 59 N., Robertsdale, AL 36567",(251) 947-3878,http://www.cssbaldwin.org 	sknight@mobilearchdiocese.org
Catholic Social Services of Mobile - Refugee Resettlement Program (Mobile Office),"188 S. Florida Street, Mobile, AL 36606",(251) 432-2727,http://www.catholicsocialservicesmobile.com/cssmob 
Catholic Social Services of Montgomery - Immigrant Services,"4455 Narrow Lane Rd, Montgomery, AL 36116",(334) 288-8890 ext. 218,http://www/cssalabama.org 	owhite@cssalabama.org
Hispanic Catholic Social Services,"92 Oxmoor Rd., Birmingham, AL 35209",(205) 987-4771,http://www.hcsslacasita.org/index.html 	Lhillhouse@bhmdiocese.org
Hispanic Interest Coalition of Alabama,"117 Southcrest Drive, Birmingham, AL 35209",(205) 942-5505,http://www.hispanicinterest.org 	info@hispanicinterest.org
Alaska Immigration Justice Project,"431 W. 7th Ave, Suite 208, Anchorage, AK 99501",(907) 279-2457,http://www.akijp.org 	contact@akijp.org
American Beginnings - Proyecto San Pablo,"2215 S. 8th Ave, PO Box 110, Yuma, AZ 85366-0110",(928) 783-5794,americanbeginnings@yahoo.com
Arizona Immigrant and Refugee Services,"10240 N. 31st Ave, Suite 112, Phoenix, AZ 85051",(602) 944-1821	(602) 944-1827,http://airsaz.org 	info@airsaz.org
Arizona Legal Women and Youth Services,"24 W. Camelback Road, #A335, Phoenix, AZ 85013",(602) 248-7055,http://alwaysaz.org 	info@alwaysaz.org
Arizona State University - Immigration Clinic,"111 E. Taylor Street , Pheonix, AZ 85004",(480) 727-9274,http://www.law.asu.edu 
Catholic Charities Community Services of Phoenix - Familias Unidas,"1825 W. Northern Ave, Phoenix, AZ 85021",(602) 749-4415,http://www.catholiccharitiesaz.com 
Catholic Social Service - Immigration Services,"140 W. Speedway Blvd, Suite 130, Tucson, AZ 85705",(520) 610-0819,
Chicanos Por La Causa Family Immigration Services,"308 West Main Street, PO Box 517, Somerton, AZ 85350",(928) 627-2042,http://www.cplc.org 	somerton.immigration@cplc.org
CUNY Citizenship Now! at the University of Arizona,"Mel & Enid Zuckerman College of Public Health, 714 East Van Buren Street, Phoenix, AZ 85006",(602) 827-2640,http://www1.cuny.edu/sites/citizenship-now/services/national-initiative/ 
"Families First Services Center, Inc at Jesus Church (Foursquare)","15441 22nd Avenue North, Phoenix, AZ 85023",(623) 521-2259,
Florence Immigrant and Refugee Rights Project (Florence Office),"PO Box 654, Florence, AZ 85132",(520) 868-0191,http://www.firrp.org 	firrp@firrp.org
Florence Immigrant and Refugee Rights Project (Phoenix Office),"2025 N. 3rd Street, Suite 205, Phoenix, AZ 85004-1471",(602) 307-1008,http://www.firrp.org 	firrp@firrp.org
"Friendly House, Inc.","113 W Sherman St, Phoenix, AZ 85003",(602) 257-1870,http://www.friendlyhouse.org 	info@friendlyhouse.org
Global Family Legal Services (Tubac Office),"4 Will Rodgers Lane, Tubac, AZ 85640-8001",(520) 398-3388,veritas@gflsfamily.org
Global Family Legal Services (Tucson Office),"630 N. 4th Ave., Tucson, AZ 85705",(520) 398-3388,veritas@gflsfamily.org
International Rescue Committee (Phoenix Office),"4425 West Olive Avenue, #400, Glendale, AZ 85302-3847",(602) 433-2440,http://www.rescue.org/us-program/us-phoenix-az 	Chris.Debreceni@rescue.org
International Rescue Committee (Tucson Office),"2100 N. Kolb Rd., Suite 103, Tucson, AZ 85715",(520) 319-2128,http://www.rescue.org 	Tucson@Rescue.org
James E. Rogers Community Law Group at University of Arizona College of Law,"1201 N Santa Rita Ave, Tucson, AZ 85719",(520) 626-2256,https://law.arizona.edu/community-law-group 	nkatirai@email.arizona.edu
LifeBridge Community Alliance - LIBRES,"2730 W. Orangewood Ave., Phoenix, AZ 85051",(602) 888-4882,http://www.lifebridgeaz.org/services/immigration-legal-services 	libres@lifebridgeaz.org
Lutheran Social Services of the Southwest - Refugee Focus (Phoenix Office),"3443 N. Central Ave, North Rotunda, Phoenix, AZ 85012",(602) 248-4400,http://www.refugeefocus.org 
Lutheran Social Services of the Southwest - Refugee Focus (Tucson Office),"120 N Stone Ave, Suite 220R, Tucson, AZ 85701",(520) 721-4444,http://www.refugeefocus.org 	pcollins@refugeefocus.org
Promise Arizona,"701 South 1st Street , Phoenix, AZ 85004",(602) 288-3663,http://www.promiseaz.org 	info@promiseaz.org
"Southern Arizona Legal Aid, Inc.","2343 E. Broadway Blvd, Suite 200, Tucson, AZ 85719",(520) 623-9461,http://www.sazlegalaid.org 
United Farm Workers Foundation (Phoenix Office),"1440 East Washington St, Suite 210, Phoenix, CA 85034",(602) 889-0933,http://www.ufwfoundation.org 	phoenixrecept@ufwfoundation.org
University of Arizona - Immigration Law Clinic,"1145 N. Mountain Ave, Rogers College of Law, Tucson, AZ 85719",(520) 626-5232,https://law.arizona.edu/immigration-law-clinic 	klinickig@email.arizona.edu
University of Arizona - Workers' Rights Clinic,"1145 N. Mountain Ave., Tucson, AZ 85719",(520) 621-9206,https://law.arizona.edu/workers-rights-clinic 	workersrights@email.arizona.edu 
Catholic Charities Immigration Services (Little Rock Office),"2500 N. Tyler St., PO Box 7565, Little Rock, AR 72217",(501) 664-0340 ext. 314,http://www.dolr.org/offices/catholiccharities/immigration.php 
Catholic Charities Immigration Services (Springdale Office),"2022 W. Sunset Ave, Springdale, AR 72762",(479) 927-1996,http://www.dolr.org/offices/catholiccharities/immigration-springdale.php 	ccisnw@gmail.com
University of Arkansas School of Law - Immigration Clinic,"1045 W. Maple St., 107 Waterman Hall, Fayetteville, AR 72701",(479) 575-3056,http://law.uark.edu 	jej03@uark.edu
ABA Immigration Justice Project of San Diego,"2727 Camino del Rio South, Suite 223, San Diego, CA 92108",(619) 255-8810,http://www.americanbar.org/ijp 
Access California Services,"631 S. Brookhurst St, Suite 107, Anaheim, CA 92804",(714) 917-0440,http://www.accesscal.org 	info@accesscal.org
"Access, Inc. - Immigration Services","2612 Daniel Ave, San Diego, CA 92111",(858) 560-0871,http://www.access2jobs.org 	info@access2jobs.org
Advancing Justice - Asian Law Caucus,"55 Columbus Ave, San Francisco, CA 94111",(415) 896-1701,http://advancingjustice-alc.org/ 	anoopp@advancingjustice-alc.org
AIDS Legal Referral Panel - Immigrant HIV Assistance Project,"1663 Mission St, Suite 500, San Francisco, CA 94103",(415) 701-1200 ext. 313,http://www.alrp.org 
Alliance for African Assistance,"5952 El Cajon Blvd, San Diego, CA 92115",(619) 286-9052 ext. 248,http://www.alliance-for-africa.org 	alexa@alliance-for-africa.org
Arab Resource and Organizing Center,"522 Valencia St, San Francisco, CA 94110",(415) 861-7444,http://www.araborganizing.org 	info@araborganizing.org
Asian Americans Advancing Justice-LA,"1145 Wilshire Blvd, 2nd Floor, Los Angeles, CA 90017",(213) 977-7500,http://www.advancingjustice-la.org 	info@advancingjustice-la.org
Asian Law Alliance,"991 W. Hedding St, Suite 202, San Jose, CA 95126",(408) 287-9710,http://www.asianlawalliance.org 	sccala@pacbell.net
Asian Pacific Islander Legal Outreach (Oakland Office),"1305 Franklin St, Suite 410, Oakland, CA 94612",(510) 251-2846,http://www.apilegaloutreach.org 
